month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2026/07/01 04:00:00+00,Weekday,22,Blue Line,1209760,54989,1
2026/07/01 04:00:00+00,Weekday,22,Orange Line,3244879,147494,2
2026/07/01 04:00:00+00,Weekday,22,Red Line,3120741,141852,3
2026/07/01 04:00:00+00,Weekday,22,Heavy Rail,7575380,344335,4
2026/07/01 04:00:00+00,Weekday,22,Green Line,2861297,130059,5
2026/07/01 04:00:00+00,Weekday,22,Mattapan Line,61755,2807,6
2026/07/01 04:00:00+00,Weekday,22,Light Rail,2923052,132866,7
2026/07/01 04:00:00+00,Weekday,22,Silver Line,833912,37905,8
2026/07/01 04:00:00+00,Weekday,22,Bus,6398826,290856,9
2026/07/01 04:00:00+00,Weekday,22,All Bus,7232738,328761,10
2026/07/01 04:00:00+00,Saturday,3,Blue Line,158595,52865,11
2026/07/01 04:00:00+00,Saturday,3,Orange Line,355643,118548,12
2026/07/01 04:00:00+00,Saturday,3,Red Line,347028,115676,13
2026/07/01 04:00:00+00,Saturday,3,Heavy Rail,861266,287089,14
2026/07/01 04:00:00+00,Saturday,3,Green Line,392539,130846,15
2026/07/01 04:00:00+00,Saturday,3,Mattapan Line,5460,1820,16
2026/07/01 04:00:00+00,Saturday,3,Light Rail,398000,132667,17
2026/07/01 04:00:00+00,Saturday,3,Silver Line,78251,26084,18
2026/07/01 04:00:00+00,Saturday,3,Bus,548150,182717,19
2026/07/01 04:00:00+00,Saturday,3,All Bus,626401,208800,20
2026/07/01 04:00:00+00,Sunday,5,Blue Line,202547,40509,21
2026/07/01 04:00:00+00,Sunday,5,Orange Line,429928,85986,22
2026/07/01 04:00:00+00,Sunday,5,Red Line,454178,90836,23
2026/07/01 04:00:00+00,Sunday,5,Heavy Rail,1086653,217331,24
2026/07/01 04:00:00+00,Sunday,5,Green Line,470304,94061,25
2026/07/01 04:00:00+00,Sunday,5,Mattapan Line,7051,1410,26
2026/07/01 04:00:00+00,Sunday,5,Light Rail,477355,95471,27
2026/07/01 04:00:00+00,Sunday,5,Silver Line,122852,24570,28
2026/07/01 04:00:00+00,Sunday,5,Bus,698191,139638,29
2026/07/01 04:00:00+00,Sunday,5,All Bus,821043,164209,30
2026/07/01 04:00:00+00,Total,30,Blue Line,1570903,52363,31
2026/07/01 04:00:00+00,Total,30,Orange Line,4030450,134348,32
2026/07/01 04:00:00+00,Total,30,Red Line,3921946,130732,33
2026/07/01 04:00:00+00,Total,30,Heavy Rail,9523299,317443,34
2026/07/01 04:00:00+00,Total,30,Green Line,3724139,124138,35
2026/07/01 04:00:00+00,Total,30,Mattapan Line,74267,2476,36
2026/07/01 04:00:00+00,Total,30,Light Rail,3798407,126614,37
2026/07/01 04:00:00+00,Total,30,Silver Line,1035016,34501,38
2026/07/01 04:00:00+00,Total,30,Bus,7645167,254839,39
